EventTime,EventReceivedTime,Date,Hour,DayOfWeek,MonthYear,Hostname,Keywords,EventType,SeverityValue,Severity,EventID,SourceName,ProviderGuid,Version,Task,OpcodeValue,RecordNumber,ProcessID,ThreadID,Channel,Domain,AccountName,UserID,AccountType,LogonType,IpAddress,IpPort,DeviceInstanceId,DeviceCount,Opcode,SourceModuleType,Message
2025-01-31 10:00:00,2025-01-31 10:00:04,2025-01-31,10,Friday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,2,WARNING,25,Microsoft-Windows-PushNotifications-Platform,06e539d3-9a15-40e9-80c9-30aa707504bd,0,0,0,858601,8136,5941,Microsoft-Windows-Application-Experience/Program-Telemetry,,Robot,8761,,,184.200.130.21,8299,28338,1,Info,im_msvistalog,Application chrome.exe performed an action.
2025-02-28 17:00:00,2025-02-28 17:00:18,2025-02-28,17,Friday,Feb-2025,DESKTOP-RKJA15K,4611686018431584274,AUDIT_SUCCESS,4,INFO,11707,Microsoft-Windows-Install-Agent,6e294319-9ade-4ed5-99ca-9c31f8accc1f,0,13826,0,121078,9181,8709,Microsoft-Windows-PushNotification-Platform/Operational,NT AUTHORITY,doris,4752,User,,148.76.41.50,3072,50892,1,Info,im_msvistalog,Application winlogon.exe performed an action.
2025-02-25 14:00:00,2025-02-25 14:00:05,2025-02-25,14,Tuesday,Feb-2025,DESKTOP-RKJA15K,-9223372036749918208,AUDIT_SUCCESS,2,INFO,11707,Microsoft-Windows-Winlogon,5eee3169-c947-46ac-95bb-d7c1c40fdf9d,0,0,0,920478,7246,7943,Microsoft-Windows-PushNotification-Platform/Operational,NT AUTHORITY,doris,2675,User,,15.59.232.91,58095,99814,9,Start,im_msvistalog,Application svchost.exe performed an action.
2025-01-21 12:00:00,2025-01-21 12:00:06,2025-01-21,12,Tuesday,Jan-2025,DESKTOP-RKJA15K,36028797018963968,VERBOSE,2,INFO,8037,Microsoft-Windows-Bits-Client,e43848ac-0e7e-4baa-adaa-166ca9c19ef5,0,0,0,540013,2208,9289,Windows PowerShell,NT AUTHORITY,doris,1538,User,,175.230.243.39,53512,50118,7,Info,im_msvistalog,Application trojan.exe performed an action.
2025-01-24 14:00:00,2025-01-24 14:00:21,2025-01-24,14,Friday,Jan-2025,DESKTOP-RKJA15K,-9223372036749918208,INFO,2,INFO,6004,Microsoft-Windows-Security-Auditing,e7d722b9-7f2e-45b3-8c67-e612280e5220,0,0,0,246750,4601,5342,Microsoft-Windows-PushNotification-Platform/Operational,,doris,9414,User,,204.219.174.74,24645,14882,2,Info,im_msvistalog,Application None performed an action.
2025-01-21 09:00:00,2025-01-21 09:00:06,2025-01-21,9,Tuesday,Jan-2025,DESKTOP-RKJA15K,2306124492780339200,INFO,2,INFO,2006,Microsoft-Windows-Store,0c46ee48-011d-4d6d-9ab0-d35ded8d2974,0,12548,0,671155,3396,9922,Application,NT AUTHORITY,doris,7690,,,103.178.46.24,2151,55328,6,Info,im_msvistalog,Application services.exe performed an action.
2025-02-18 17:00:00,2025-02-18 17:00:22,2025-02-18,17,Tuesday,Feb-2025,DESKTOP-RKJA15K,-9223354444668731392,INFO,2,INFO,1042,Microsoft-Windows-Winlogon,f009a567-8f3b-4c61-a90e-4448f07391f0,0,13826,0,242438,4368,7635,Microsoft-Windows-SMBServer/Operational,NT AUTHORITY,Robot,2512,User,,122.155.21.175,23602,99358,7,Info,im_msvistalog,Application None performed an action.
2025-01-28 16:00:00,2025-01-28 16:00:13,2025-01-28,16,Tuesday,Jan-2025,DESKTOP-RKJA15K,-9223372036854773760,INFO,2,DEBUG,119,MsiInstaller,ba545396-52ca-45d4-846a-f3518a890385,0,0,0,327712,2103,5426,Microsoft-Windows-Kernel-PnP/Device Management,DESKTOP-RKJA15K,doris,6099,,,50.255.215.177,12982,50842,8,Info,im_msvistalog,Application services.exe performed an action.
2025-01-06 14:00:00,2025-01-06 14:00:17,2025-01-06,14,Monday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,2,WARNING,16,Microsoft-Windows-RestartManager,d09656be-34a2-4f9c-afe1-8692d43c3471,0,0,2,723392,1170,4732,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,DESKTOP-RKJA15K,Robot,2839,User,,49.121.152.212,44179,50786,5,,im_msvistalog,Application winlogon.exe performed an action.
2025-02-17 16:00:00,2025-02-17 16:00:21,2025-02-17,16,Monday,Feb-2025,DESKTOP-RKJA15K,-9218868437227405312,INFO,2,INFO,1042,Netwtw06,afb6bee7-3220-4feb-8318-05e0186ad3d9,1,56,0,816827,9726,5518,System,,doris,7092,User,,38.41.229.200,53645,26836,4,Info,im_msvistalog,Application None performed an action.
2025-01-01 17:00:00,2025-01-01 17:00:20,2025-01-01,17,Wednesday,Jan-2025,DESKTOP-RKJA15K,36028797018963968,INFO,2,INFO,4104,Microsoft-Windows-Ntfs,b96855c6-d6b3-4fb2-97cf-c846fc4e64be,0,0,0,656298,3499,8128,Application,NT AUTHORITY,Robot,3943,User,,64.152.69.94,13762,32546,2,Info,im_msvistalog,Application winlogon.exe performed an action.
2025-01-02 17:00:00,2025-01-02 17:00:14,2025-01-02,17,Thursday,Jan-2025,DESKTOP-RKJA15K,4611686018427387904,INFO,2,INFO,1005,Microsoft-Windows-Perflib,8fcb36b9-7eb1-4a3d-aeb0-58f5f9d07356,0,0,0,231772,8578,3307,Microsoft-Windows-UniversalTelemetryClient/Operational,,doris,8307,User,,219.234.252.74,35507,66499,2,Info,im_msvistalog,Application opera.exe performed an action.
2025-03-04 12:00:00,2025-03-04 12:00:17,2025-03-04,12,Tuesday,Mar-2025,DESKTOP-RKJA15K,-9223372036749918208,INFO,2,WARNING,6000,Netwtw06,b901a25c-7753-4183-9438-a6b878507de1,0,0,0,880168,5247,9770,Microsoft-Windows-Shell-Core/Operational,DESKTOP-RKJA15K,doris,8643,User,,57.213.5.194,1878,17130,6,Info,im_msvistalog,Application chrome.exe performed an action.
2025-01-21 13:00:00,2025-01-21 13:00:12,2025-01-21,13,Tuesday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,AUDIT_SUCCESS,2,INFO,1033,Microsoft-Windows-Kernel-PnP,ebf9607e-5f57-4a6b-8054-b34cb75f278f,0,0,0,155244,2604,3549,Microsoft-Windows-Shell-Core/Operational,NT AUTHORITY,doris,4802,User,,195.127.18.196,22320,95316,5,0,im_msvistalog,Application winlogon.exe performed an action.
2025-02-10 11:00:00,2025-02-10 11:00:01,2025-02-10,11,Monday,Feb-2025,DESKTOP-RKJA15K,36028797018963968,INFO,2,INFO,854,Microsoft-Windows-Windows Firewall With Advanced Security,089a904e-e632-4e14-b0fd-56f3760a3f4c,0,0,0,487810,9490,1877,Application,DESKTOP-RKJA15K,doris,8953,User,,85.70.192.141,50110,18135,9,Info,im_msvistalog,Application malware.exe performed an action.
2025-02-07 13:00:00,2025-02-07 13:00:05,2025-02-07,13,Friday,Feb-2025,DESKTOP-RKJA15K,4611686018427387904,WARNING,2,INFO,4798,Microsoft-Windows-FilterManager,c3c8d375-893f-4392-af53-c34c6c1109f4,0,0,1,491418,5462,2369,Microsoft-Windows-Store/Operational,DESKTOP-RKJA15K,Robot,4144,,,142.65.53.60,42062,75712,2,Info,im_msvistalog,Application svchost.exe performed an action.
2025-01-13 12:00:00,2025-01-13 12:00:15,2025-01-13,12,Monday,Jan-2025,DESKTOP-RKJA15K,4611686018427387904,INFO,2,INFO,6003,Microsoft-Windows-WMI-Activity,364a7ba6-1e9f-4a22-80fa-53ab03e924ac,0,0,0,447562,8411,9564,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,NT AUTHORITY,Robot,3498,User,2,98.1.132.177,49759,26199,1,Info,im_msvistalog,Application services.exe performed an action.
2025-02-19 17:00:00,2025-02-19 17:00:10,2025-02-19,17,Wednesday,Feb-2025,DESKTOP-RKJA15K,36028797018963968,INFO,2,INFO,62443,Microsoft-Windows-Security-Auditing,f4466ba7-73ad-4362-a590-508a6ec7d211,0,0,0,112888,2280,3926,Security,NT AUTHORITY,doris,9972,User,,22.192.32.119,26002,21092,3,Info,im_msvistalog,Application None performed an action.
2025-01-17 17:00:00,2025-01-17 17:00:01,2025-01-17,17,Friday,Jan-2025,DESKTOP-RKJA15K,4611686018427387904,INFO,2,INFO,0,Microsoft-Windows-Windows Defender,44205ce5-26ab-4512-8c0a-ef75bb6dd479,0,0,0,786063,4997,7715,Microsoft-Windows-WMI-Activity/Operational,NT AUTHORITY,Robot,9492,User,,198.148.206.31,1940,49678,6,Start,im_msvistalog,Application RuntimeBroker.exe performed an action.
2025-02-06 13:00:00,2025-02-06 13:00:06,2025-02-06,13,Thursday,Feb-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,1,ERROR,5857,MsiInstaller,9ca644a7-63b1-46d8-a46f-f2fceb0dfe23,0,0,0,215082,4539,6179,Microsoft-Windows-NetworkProfile/Operational,,Robot,6818,User,,52.43.204.237,52703,28388,6,Info,im_msvistalog,Application malware.exe performed an action.
2025-01-30 11:00:00,2025-01-30 11:00:02,2025-01-30,11,Thursday,Jan-2025,DESKTOP-RKJA15K,-9223372036854775808,WARNING,2,WARNING,2005,Microsoft-Windows-GroupPolicy,04cce522-cda6-4629-89a7-f15672e08ee0,0,0,0,420841,2186,2435,Security,DESKTOP-RKJA15K,Robot,6222,User,131072,174.45.133.236,10917,38205,5,Dispatch Event,im_msvistalog,Application chrome.exe performed an action.
2025-02-25 17:00:00,2025-02-25 17:00:03,2025-02-25,17,Tuesday,Feb-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,2,INFO,11707,Microsoft-Windows-Kernel-PnP,cb6da726-726b-4773-b41c-7c018d6c8aae,0,0,10,362084,7426,8904,Microsoft-Windows-Diagnosis-PCW/Operational,NT AUTHORITY,doris,5951,User,,108.117.47.62,8398,41972,1,Info,im_msvistalog,Application winlogon.exe performed an action.
2025-02-07 16:00:00,2025-02-07 16:00:03,2025-02-07,16,Friday,Feb-2025,DESKTOP-RKJA15K,36028797018963968,INFO,2,INFO,1268,PowerShell,3df768e2-b781-4082-93fc-fd8513dc6bea,2,1,0,683763,3892,8269,Microsoft-Windows-GroupPolicy/Operational,DESKTOP-RKJA15K,doris,3938,User,,146.79.147.245,18028,75886,9,Start,im_msvistalog,Application malware.exe performed an action.
2025-02-07 14:00:00,2025-02-07 14:00:19,2025-02-07,14,Friday,Feb-2025,DESKTOP-RKJA15K,-9223372036812828672,VERBOSE,3,INFO,505,Microsoft-Windows-WLAN-AutoConfig,4ddf35b8-8a77-44bc-b99d-79a17b90a338,0,0,1,135644,3200,4945,System,,doris,7710,User,,169.11.93.183,23834,83316,10,Info,im_msvistalog,Application malware.exe performed an action.
2025-01-15 14:00:00,2025-01-15 14:00:24,2025-01-15,14,Wednesday,Jan-2025,DESKTOP-RKJA15K,4611686018427387904,INFO,2,INFO,1,Netwtw06,a646e64a-d583-46a8-9860-f215074adbea,1,2002,0,743716,8422,1886,Microsoft-Windows-Store/Operational,NT AUTHORITY,doris,4868,User,,130.148.121.55,1105,75404,10,Info,im_msvistalog,Application services.exe performed an action.
2025-01-02 16:00:00,2025-01-02 16:00:30,2025-01-02,16,Thursday,Jan-2025,DESKTOP-RKJA15K,2305843009213759488,INFO,2,INFO,119,Microsoft-Windows-Kernel-ShimEngine,7014e273-40a3-4abe-9730-58b3a496762e,0,0,0,455375,3354,9996,Microsoft-Windows-WMI-Activity/Operational,NT AUTHORITY,Robot,7807,,,69.134.21.209,49580,52006,1,Info,im_msvistalog,Application None performed an action.
2025-02-19 09:00:00,2025-02-19 09:00:21,2025-02-19,9,Wednesday,Feb-2025,DESKTOP-RKJA15K,-9223372036854775808,INFO,2,INFO,812,Microsoft-Windows-Store,18faea9c-43de-4f7b-96c0-b0cf0bbd0929,0,0,14,217504,6299,1992,System,NT AUTHORITY,Robot,8064,User,,102.242.32.8,4678,23923,10,Info,im_msvistalog,Application None performed an action.
2025-02-03 15:00:00,2025-02-03 15:00:16,2025-02-03,15,Monday,Feb-2025,DESKTOP-RKJA15K,4611686018427453440,ERROR,2,WARNING,11707,Microsoft-Windows-Security-LessPrivilegedAppContainer,506db407-39a4-499c-9ade-8574aeae8fea,0,0,0,257918,2841,7856,Microsoft-Windows-Shell-Core/Operational,NT AUTHORITY,Robot,6024,,,153.109.242.39,52968,47944,6,Info,im_msvistalog,Application svchost.exe performed an action.
2025-02-04 13:00:00,2025-02-04 13:00:00,2025-02-04,13,Tuesday,Feb-2025,DESKTOP-RKJA15K,4611686018429485056,ERROR,2,WARNING,62171,Microsoft-Windows-Winlogon,ae9ccec9-ed03-4e8b-9325-a6252037f282,0,3,0,215603,1184,5397,Security,DESKTOP-RKJA15K,doris,1556,,,171.82.66.76,5728,90073,3,Info,im_msvistalog,Application RuntimeBroker.exe performed an action.
2025-01-06 11:00:00,2025-01-06 11:00:05,2025-01-06,11,Monday,Jan-2025,DESKTOP-RKJA15K,-9223372036854775808,WARNING,2,INFO,8037,Microsoft-Windows-Shell-Core,d0d61fe6-d824-4b64-89ab-5344ba1d688e,0,0,0,326049,4349,4333,Microsoft-Windows-Shell-Core/Operational,NT AUTHORITY,doris,8816,,2,198.78.117.0,40560,87201,10,Start,im_msvistalog,Application trojan.exe performed an action.
2025-02-20 15:00:00,2025-02-20 15:00:08,2025-02-20,15,Thursday,Feb-2025,DESKTOP-RKJA15K,-9214364837600034816,WARNING,3,INFO,9706,Microsoft-Windows-Shell-Core,4ea94b5e-f84b-41a4-a014-c5e78d517e53,0,0,0,620822,8541,3941,System,NT AUTHORITY,Robot,6952,,,5.78.141.85,13716,54662,10,Start,im_msvistalog,Application None performed an action.
2025-01-02 16:00:00,2025-01-02 16:00:21,2025-01-02,16,Thursday,Jan-2025,DESKTOP-RKJA15K,4611686018427453440,INFO,2,INFO,811,Microsoft-Windows-Diagnosis-DPS,52b2f582-9471-4ed9-b885-b0e2fef535b5,0,0,0,553169,1179,2818,Microsoft-Windows-Store/Operational,NT AUTHORITY,Robot,2132,User,,155.245.200.205,43384,19086,5,ResvUrlV2,im_msvistalog,Application chrome.exe performed an action.
2025-03-04 14:00:00,2025-03-04 14:00:18,2025-03-04,14,Tuesday,Mar-2025,DESKTOP-RKJA15K,4611686018427387904,AUDIT_SUCCESS,1,INFO,4624,Microsoft-Client-Licensing-Platform,a1907894-f712-4e09-82b7-c40e29ec2d4e,0,12548,0,600722,6947,9218,Windows PowerShell,NT AUTHORITY,Robot,8671,User,,145.190.13.151,34848,16200,1,Info,im_msvistalog,Application services.exe performed an action.
2025-02-05 09:00:00,2025-02-05 09:00:27,2025-02-05,9,Wednesday,Feb-2025,DESKTOP-RKJA15K,2305843009213759488,AUDIT_SUCCESS,2,DEBUG,5857,Microsoft-Windows-Security-Auditing,01429565-7c1a-47b5-95cb-6c4b9f74f64a,0,12548,0,813658,4015,9467,Microsoft-Windows-LiveId/Operational,NT AUTHORITY,Robot,8023,User,,42.133.112.207,47961,89640,1,Start,im_msvistalog,Application svchost.exe performed an action.
2025-02-19 13:00:00,2025-02-19 13:00:09,2025-02-19,13,Wednesday,Feb-2025,DESKTOP-RKJA15K,-9223372036854775804,AUDIT_SUCCESS,3,INFO,4799,Microsoft-Windows-Perflib,83e46be0-bb54-4ed7-b24b-42aeb89b72d9,0,0,0,901014,2586,4132,Microsoft-Windows-WMI-Activity/Operational,DESKTOP-RKJA15K,doris,3483,,,31.157.186.254,16932,99838,2,Start,im_msvistalog,Application trojan.exe performed an action.
